seccion,id,pregunta_o_escenario,contexto_fijo,opcion_a,opcion_b,opcion_c,tu_respuesta,nota_extra
INSTRUCCIONES,,"Rellena tu_respuesta (texto corto o numero). Si eliges A/B/C pon la letra y un matiz en nota_extra. Objetivo: cerrar huecos antes de programar estrellas por nivel. Publico: criterio escuela Zurriola.",,,,,,
H - ENERGIA HUECOS,H11,Energia 70-99 kJ + viento perfecto. Estrellas INTERMEDIO y AVANZADO,Tu doc: avanzado 'escaso pero posible',,,,
H - ENERGIA HUECOS,H12,Energia 1300-1800 kJ + viento perfecto + marea alta. Estrellas INTERMEDIO y AVANZADO,Por encima del 'ideal 500-1300' pero bajo desfase 2500,,,,
H - ENERGIA HUECOS,H13,Energia 2000-2400 kJ + viento sur 10 + marea alta. Estrellas por nivel (ini / int / ava),Casi desfase,,,,
H - ENERGIA HUECOS,H14,"Fuerza ideal avanzada 500-1300: dentro de ese rango ¿hay un 'dulce' (ej 700-1000 = 5) y los extremos bajan a 4?",,,,,
H - MAREA CASOS,H15,100-200 kJ + vivas + 1h antes de pleamar. Estrellas INTERMEDIO,Casi sin ola segun tu criterio,,,,
H - MAREA CASOS,H16,300 kJ + vivas + marea BAJA. Estrellas INTERMEDIO,Pequeño pero marea favorable en vivas,,,,
H - MAREA CASOS,H17,450 kJ + vivas + marea ALTA. ¿Sigue el riesgo de orillera o ya no?,JSON habla mucho de 100-400,"Si orillera","Ya no tanto","Solo si periodo largo",,
H - MAREA CASOS,H18,800 kJ + marea ALTA + iniciacion en espigon: ¿hasta cuantas estrellas max para INICIACION?,Dijiste corriente mas suave en alta,,,,
H - MAREA CASOS,H19,Amplitud 2.0-3.0 m (ni viva clara ni muerta). ¿Como la tratamos?,"","Como viva","Como muerta","Zona gris: mirar si hay orillera en alta",,
H - PERIODO / VERANO,H20,Periodo 13 s en AGOSTO + 400 kJ + viento perfecto. ¿Cuantas estrellas quitas vs el mismo dia en FEBRERO?,Castigo verano,,,,
H - PERIODO / VERANO,H21,Periodo 16 s en INVIERNO + 800 kJ + viento perfecto. ¿Castigo fuerte por cierre o leve?,,,,,
H - PERIODO / VERANO,H22,Periodo 8 s (mar de viento) + 500 kJ + glassy. Estrellas INTERMEDIO,Fuerza ok pero olas fofas/seguidas,,,,
H - CORRIENTE / ZONAS,H23,1900 kJ + glassy + marea baja. Estrellas INTERMEDIO y AVANZADO,Rip safety JSON >=1800,,,,
H - CORRIENTE / ZONAS,H24,1900 kJ + glassy + marea ALTA. ¿Suben las estrellas de INTERMEDIO respecto a H23?,,,,,
H - CORRIENTE / ZONAS,H25,"Con >600-700 kJ ¿las estrellas de AVANZADO deben premiar 'Punta del Espigon' o la nota es de toda la playa?",,"Nota de playa entera","Nota segun zona recomendada","Dos notas (playa / punta)",,
H - SWELL DIRECCION,H26,% de energia util si swell NW puro (respecto al kJ del modelo),Tu JSON pone eficiencia 1.0,,,,
H - SWELL DIRECCION,H27,% si swell W o WNW,,,,,
H - SWELL DIRECCION,H28,% si swell S o rotado fuerte,JSON pone ~0.3,,,,
H - COMBOS CONFLICTO,H29,Energia 800 (buena) + norte 16 km/h. ¿Quien gana y estrellas INT/AVA?,"Viento manda pero cuantifica",,,,
H - COMBOS CONFLICTO,H30,Energia 90 (floja) + sur 5 km/h glassy. Estrellas INT/AVA,Viento perfecto energia escasa,,,,
H - COMBOS CONFLICTO,H31,Energia 600 + sur 22 + periodo 15 s en JULIO + marea viva alta. Estrellas INT/AVA,Varias penalizaciones a la vez,,,,
H - PRODUCTO / UI,H32,En el slider cada 2h ¿mostramos 1 fila de estrellas (nivel elegido) o 3 filas (ini/int/ava)?,,"Una con selector de nivel","Tres filas compactas","Por defecto intermedio + tap para ver otras",,
H - PRODUCTO / UI,H33,Estrellas del 'resumen por dia': ¿mejor momento del dia para el nivel o media del dia?,,"Mejor slot","Media ponderada mañana/tarde","Mediana de slots diurnos",,
H - PRODUCTO / UI,H34,Slots de noche (00-04) ¿estrellas en gris/N/A o se calculan igual?,,,,,
H - SEGURIDAD,H35,"Si signal=closed por umbrales actuales pero tu criterio daria 3 a avanzado ¿manda el closed (tope 1) o tu criterio?",,"Manda closed","Manda criterio estrellas","Closed solo aviso texto; estrellas aparte",,
H - SEGURIDAD,H36,¿Hay algun combo que deba ser SIEMPRE 1 estrella para TODOS los niveles sin excepcion? Describe.,,,,,
I - PREGUNTAS ABIERTAS EXTRA,I1,¿Algo del criterio actual del JSON de logistica que veas MAL o desfasado esta temporada?,,,,,
I - PREGUNTAS ABIERTAS EXTRA,I2,¿Umbrales de kJ del JSON (<50 / 100 / 400 / 800 / 1500 / 2500) siguen vigentes o hay que mover alguno?,,,,,
I - PREGUNTAS ABIERTAS EXTRA,I3,Cuando el kJ de la app no coincide con lo que ves en la playa ¿confiamos en la app o quieres un factor de 'sensacion' manual (override)?,,,,,
